state,year,quarter,insurance_type,insurance_count,insurance_amount
chandigarh,2022,3,Insurance,1533,1998439
chandigarh,2022,4,Insurance,1403,2024528
chandigarh,2023,1,Insurance,1520,2415574
chandigarh,2023,2,Insurance,1704,2501107
chandigarh,2023,3,Insurance,1883,2660630
chandigarh,2023,4,Insurance,1767,3053934
chandigarh,2024,1,Insurance,1730,3143984
chandigarh,2024,2,Insurance,1798,3177315
chandigarh,2024,3,Insurance,1991,3445738
chandigarh,2024,4,Insurance,2095,3729932
chhattisgarh,2020,2,Insurance,1346,279005
chhattisgarh,2020,3,Insurance,4702,1393656
chhattisgarh,2020,4,Insurance,3757,2249901
chhattisgarh,2021,1,Insurance,4712,2620468
chhattisgarh,2021,2,Insurance,5055,3813417
chhattisgarh,2021,3,Insurance,4676,3568837
chhattisgarh,2021,4,Insurance,6029,8229039
chhattisgarh,2022,1,Insurance,6612,10139190
chhattisgarh,2022,2,Insurance,7008,10119964
chhattisgarh,2022,3,Insurance,8849,12119470
chhattisgarh,2022,4,Insurance,11994,18137856
chhattisgarh,2023,1,Insurance,10460,16577191
chhattisgarh,2023,2,Insurance,10514,16389610
chhattisgarh,2023,3,Insurance,11927,17838382
chhattisgarh,2023,4,Insurance,17300,29704673
chhattisgarh,2024,1,Insurance,19579,30083259
chhattisgarh,2024,2,Insurance,15724,25935743
chhattisgarh,2024,3,Insurance,16550,27724060
chhattisgarh,2024,4,Insurance,22723,37421165
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Insurance,651,101029
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Insurance,257,65504
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Insurance,232,149513
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Insurance,467,285691
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Insurance,368,275638
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Insurance,360,273596
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Insurance,421,425384
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Insurance,493,720741
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Insurance,438,686857
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Insurance,707,983776
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Insurance,871,1272628
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Insurance,799,1215168
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Insurance,694,1058753
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Insurance,969,1333103
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Insurance,1207,1973867
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Insurance,1295,1908509
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Insurance,1008,1367259
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,Insurance,1052,1602869
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,Insurance,1503,2292529
delhi,2020,2,Insurance,11716,1897480
delhi,2020,3,Insurance,7588,1927285
delhi,2020,4,Insurance,9725,8045442
delhi,2021,1,Insurance,12822,9655261
delhi,2021,2,Insurance,13292,10840929
delhi,2021,3,Insurance,16679,15007079
delhi,2021,4,Insurance,34251,36578331
delhi,2022,1,Insurance,28232,35442069
delhi,2022,2,Insurance,26378,31787281
delhi,2022,3,Insurance,35944,41570160
delhi,2022,4,Insurance,48908,60603173
delhi,2023,1,Insurance,45821,61040038
delhi,2023,2,Insurance,41358,54951108
delhi,2023,3,Insurance,47113,58878500
delhi,2023,4,Insurance,56336,77332401
delhi,2024,1,Insurance,53050,76232346
delhi,2024,2,Insurance,46189,68046072
delhi,2024,3,Insurance,49150,71139489
delhi,2024,4,Insurance,67962,94390728
goa,2020,2,Insurance,341,71100
goa,2020,3,Insurance,683,196864
goa,2020,4,Insurance,614,682364
goa,2021,1,Insurance,879,827384
goa,2021,2,Insurance,1016,1028339
goa,2021,3,Insurance,1214,1385986
goa,2021,4,Insurance,2087,2737316
goa,2022,1,Insurance,2634,3865245
goa,2022,2,Insurance,3524,5093510
goa,2022,3,Insurance,3157,4142108
goa,2022,4,Insurance,4388,6190669
goa,2023,1,Insurance,4097,5859549
goa,2023,2,Insurance,4166,5930801
goa,2023,3,Insurance,3927,5646054
goa,2023,4,Insurance,4883,7411001
goa,2024,1,Insurance,5225,7528093
goa,2024,2,Insurance,5021,7178558
goa,2024,3,Insurance,5354,8051690
goa,2024,4,Insurance,6662,9903374
gujarat,2020,2,Insurance,7697,1430591
gujarat,2020,3,Insurance,12525,3335812
gujarat,2020,4,Insurance,9990,6055037
gujarat,2021,1,Insurance,12673,7288104
gujarat,2021,2,Insurance,14676,10263998
gujarat,2021,3,Insurance,15348,12341903
gujarat,2021,4,Insurance,19142,23282921
gujarat,2022,1,Insurance,22221,29953433
gujarat,2022,2,Insurance,25381,32090965
gujarat,2022,3,Insurance,31302,37557227
gujarat,2022,4,Insurance,36418,50629325
gujarat,2023,1,Insurance,32600,46937694
gujarat,2023,2,Insurance,32484,46254095
gujarat,2023,3,Insurance,51049,65768085
gujarat,2023,4,Insurance,41128,66735446
gujarat,2024,1,Insurance,44665,62633910
gujarat,2024,2,Insurance,44007,63866463
gujarat,2024,3,Insurance,46763,70950327
gujarat,2024,4,Insurance,62526,91858105
haryana,2020,2,Insurance,6321,1179814
haryana,2020,3,Insurance,7139,1884868
haryana,2020,4,Insurance,8283,5974278
haryana,2021,1,Insurance,11038,7297880
haryana,2021,2,Insurance,12516,11272453
haryana,2021,3,Insurance,14163,13215898
haryana,2021,4,Insurance,19489,25885838
haryana,2022,1,Insurance,22783,32526943
haryana,2022,2,Insurance,25352,33759068
haryana,2022,3,Insurance,35346,45402800
haryana,2022,4,Insurance,37971,56627115
haryana,2023,1,Insurance,37287,61127194
haryana,2023,2,Insurance,40710,62186066
haryana,2023,3,Insurance,42815,61782311
haryana,2023,4,Insurance,47506,80747159
haryana,2024,1,Insurance,50391,81816509
haryana,2024,2,Insurance,46085,74779879
haryana,2024,3,Insurance,49735,79198642
haryana,2024,4,Insurance,58808,94316512
himachal-pradesh,2020,2,Insurance,392,77936
himachal-pradesh,2020,3,Insurance,531,165559
himachal-pradesh,2020,4,Insurance,710,630966
himachal-pradesh,2021,1,Insurance,1064,906492
himachal-pradesh,2021,2,Insurance,1210,1402338
himachal-pradesh,2021,3,Insurance,1759,2444545
himachal-pradesh,2021,4,Insurance,2474,4667661
himachal-pradesh,2022,1,Insurance,2768,5234739
himachal-pradesh,2022,2,Insurance,2831,5371078
himachal-pradesh,2022,3,Insurance,3641,6161692
himachal-pradesh,2022,4,Insurance,4565,9060436
himachal-pradesh,2023,1,Insurance,3909,7826133
himachal-pradesh,2023,2,Insurance,4197,8499425
himachal-pradesh,2023,3,Insurance,3935,7869767
himachal-pradesh,2023,4,Insurance,5211,11898824
himachal-pradesh,2024,1,Insurance,5430,10433254
himachal-pradesh,2024,2,Insurance,5194,10008705
himachal-pradesh,2024,3,Insurance,5272,10538999
himachal-pradesh,2024,4,Insurance,6697,14090523
jammu-&-kashmir,2020,2,Insurance,206,48484
jammu-&-kashmir,2020,3,Insurance,441,133339
jammu-&-kashmir,2020,4,Insurance,647,734861
jammu-&-kashmir,2021,1,Insurance,1105,1546288
jammu-&-kashmir,2021,2,Insurance,1197,1832089
jammu-&-kashmir,2021,3,Insurance,1452,2139133
jammu-&-kashmir,2021,4,Insurance,3113,5223317
jammu-&-kashmir,2022,1,Insurance,3584,7244267
jammu-&-kashmir,2022,2,Insurance,4071,7729792
jammu-&-kashmir,2022,3,Insurance,4794,8281826
jammu-&-kashmir,2022,4,Insurance,5031,10111183
jammu-&-kashmir,2023,1,Insurance,4555,10275877
jammu-&-kashmir,2023,2,Insurance,5262,10974839
jammu-&-kashmir,2023,3,Insurance,5453,10975874
jammu-&-kashmir,2023,4,Insurance,6264,13932309
jammu-&-kashmir,2024,1,Insurance,7313,14695182
jammu-&-kashmir,2024,2,Insurance,7397,14237707
jammu-&-kashmir,2024,3,Insurance,7597,15554635
jammu-&-kashmir,2024,4,Insurance,8893,18252110
jharkhand,2020,2,Insurance,2063,405031
jharkhand,2020,3,Insurance,5368,1349934
jharkhand,2020,4,Insurance,3659,2857024
jharkhand,2021,1,Insurance,4879,3274851
jharkhand,2021,2,Insurance,5180,5084230
jharkhand,2021,3,Insurance,6794,7046048
jharkhand,2021,4,Insurance,8465,11190423
jharkhand,2022,1,Insurance,9373,13819466
jharkhand,2022,2,Insurance,9477,13464840
jharkhand,2022,3,Insurance,14388,18156857
jharkhand,2022,4,Insurance,16779,23147805
jharkhand,2023,1,Insurance,16108,23823406
jharkhand,2023,2,Insurance,16662,23216215
jharkhand,2023,3,Insurance,19478,25165702
jharkhand,2023,4,Insurance,22398,33484644
jharkhand,2024,1,Insurance,24824,34332990
jharkhand,2024,2,Insurance,22224,32245129
jharkhand,2024,3,Insurance,23629,34353146
jharkhand,2024,4,Insurance,29079,42253614
karnataka,2020,2,Insurance,27358,4794150
karnataka,2020,3,Insurance,53701,12407394
karnataka,2020,4,Insurance,31747,26814968
karnataka,2021,1,Insurance,37595,30183325
karnataka,2021,2,Insurance,40969,39501006
karnataka,2021,3,Insurance,47468,48078366
karnataka,2021,4,Insurance,74436,90723288
karnataka,2022,1,Insurance,95640,130733580
karnataka,2022,2,Insurance,93385,123228632
karnataka,2022,3,Insurance,110273,144605784
karnataka,2022,4,Insurance,133971,185063287
karnataka,2023,1,Insurance,127376,186543426
karnataka,2023,2,Insurance,117232,175704013
karnataka,2023,3,Insurance,139699,199448538
karnataka,2023,4,Insurance,156076,248056311
karnataka,2024,1,Insurance,169357,264708700
karnataka,2024,2,Insurance,142599,239304982
karnataka,2024,3,Insurance,174990,287393291
karnataka,2024,4,Insurance,183532,305861806
kerala,2020,2,Insurance,1588,360216
kerala,2020,3,Insurance,8811,2830361
kerala,2020,4,Insurance,5479,4445525
kerala,2021,1,Insurance,5731,5040506
kerala,2021,2,Insurance,9530,9676588
kerala,2021,3,Insurance,10926,13255646
kerala,2021,4,Insurance,19199,31260319
kerala,2022,1,Insurance,37110,64172190
kerala,2022,2,Insurance,35667,59920203
kerala,2022,3,Insurance,54587,85390924
kerala,2022,4,Insurance,65563,103982997
kerala,2023,1,Insurance,62377,101786828
kerala,2023,2,Insurance,61032,100620604
kerala,2023,3,Insurance,66059,110021582
kerala,2023,4,Insurance,73543,121905046
kerala,2024,1,Insurance,73106,115101791
kerala,2024,2,Insurance,65271,108142369
kerala,2024,3,Insurance,79123,131721699
kerala,2024,4,Insurance,89533,144083113
ladakh,2020,2,Insurance,14,2538
ladakh,2020,3,Insurance,33,10260
ladakh,2020,4,Insurance,27,34206
ladakh,2021,1,Insurance,32,34530
ladakh,2021,2,Insurance,46,86251
ladakh,2021,3,Insurance,192,174052
ladakh,2021,4,Insurance,76,195966
ladakh,2022,1,Insurance,75,193935
ladakh,2022,2,Insurance,113,269446
ladakh,2022,3,Insurance,137,369742
ladakh,2022,4,Insurance,162,410091
ladakh,2023,1,Insurance,161,495736
ladakh,2023,2,Insurance,215,635831
ladakh,2023,3,Insurance,232,649027
ladakh,2023,4,Insurance,242,718967
ladakh,2024,1,Insurance,291,614435
ladakh,2024,2,Insurance,415,964349
ladakh,2024,3,Insurance,446,978637
ladakh,2024,4,Insurance,429,970334
lakshadweep,2020,3,Insurance,4,1199
lakshadweep,2021,1,Insurance,4,5225
lakshadweep,2021,2,Insurance,5,6962
lakshadweep,2021,3,Insurance,19,16034
lakshadweep,2021,4,Insurance,11,17096
lakshadweep,2022,1,Insurance,27,34664
lakshadweep,2022,2,Insurance,18,27463
lakshadweep,2022,3,Insurance,38,41504
lakshadweep,2022,4,Insurance,15,27135
lakshadweep,2023,1,Insurance,26,30199
lakshadweep,2023,2,Insurance,15,38384
lakshadweep,2023,3,Insurance,12,12407
lakshadweep,2023,4,Insurance,53,78346
lakshadweep,2024,1,Insurance,15,12935
lakshadweep,2024,2,Insurance,26,33630
lakshadweep,2024,3,Insurance,49,55312
lakshadweep,2024,4,Insurance,159,185542
madhya-pradesh,2020,2,Insurance,6283,1198701
madhya-pradesh,2020,3,Insurance,14476,3496126
madhya-pradesh,2020,4,Insurance,10653,4897124
madhya-pradesh,2021,1,Insurance,14427,5567927
madhya-pradesh,2021,2,Insurance,14803,9787391
madhya-pradesh,2021,3,Insurance,11990,7806258
madhya-pradesh,2021,4,Insurance,15069,17524432
madhya-pradesh,2022,1,Insurance,13791,19901462
madhya-pradesh,2022,2,Insurance,14629,20159098
madhya-pradesh,2022,3,Insurance,22733,29185118
madhya-pradesh,2022,4,Insurance,29234,42712883
madhya-pradesh,2023,1,Insurance,26393,45135679
madhya-pradesh,2023,2,Insurance,27027,44871764
madhya-pradesh,2023,3,Insurance,29300,46963348
madhya-pradesh,2023,4,Insurance,40784,73801070
madhya-pradesh,2024,1,Insurance,51223,85215982
madhya-pradesh,2024,2,Insurance,41429,73836667
madhya-pradesh,2024,3,Insurance,43248,77995668
madhya-pradesh,2024,4,Insurance,59688,101096769
maharashtra,2020,2,Insurance,39836,6879717
maharashtra,2020,3,Insurance,71662,19230156
maharashtra,2020,4,Insurance,44798,27113814
maharashtra,2021,1,Insurance,55792,33137753
maharashtra,2021,2,Insurance,70381,46763103
maharashtra,2021,3,Insurance,52268,41313307
maharashtra,2021,4,Insurance,82423,93262227
maharashtra,2022,1,Insurance,88015,117411928
maharashtra,2022,2,Insurance,80935,104603934
maharashtra,2022,3,Insurance,90958,113835208
maharashtra,2022,4,Insurance,125900,174915648
maharashtra,2023,1,Insurance,112174,166596248
maharashtra,2023,2,Insurance,102754,157303399
maharashtra,2023,3,Insurance,104872,151171882
maharashtra,2023,4,Insurance,136968,217657114
maharashtra,2024,1,Insurance,149016,224725389
maharashtra,2024,2,Insurance,118933,198945046
maharashtra,2024,3,Insurance,119776,201319952
maharashtra,2024,4,Insurance,168078,266942711
manipur,2020,2,Insurance,55,12554
manipur,2020,3,Insurance,134,45164
manipur,2020,4,Insurance,90,49057
manipur,2021,1,Insurance,136,72254
manipur,2021,2,Insurance,127,81332
manipur,2021,3,Insurance,111,133016
manipur,2021,4,Insurance,145,271789
manipur,2022,1,Insurance,177,517854
manipur,2022,2,Insurance,218,553649
manipur,2022,3,Insurance,200,403213
manipur,2022,4,Insurance,271,620655
manipur,2023,1,Insurance,222,632084
manipur,2023,2,Insurance,123,341671
manipur,2023,3,Insurance,76,193021
manipur,2023,4,Insurance,225,476626
manipur,2024,1,Insurance,385,685052
manipur,2024,2,Insurance,346,647411
manipur,2024,3,Insurance,285,587893
manipur,2024,4,Insurance,405,826159
meghalaya,2020,2,Insurance,41,8829
meghalaya,2020,3,Insurance,112,33615
meghalaya,2020,4,Insurance,92,71029
meghalaya,2021,1,Insurance,107,128776
meghalaya,2021,2,Insurance,139,148434
meghalaya,2021,3,Insurance,139,214554
meghalaya,2021,4,Insurance,263,451612
meghalaya,2022,1,Insurance,337,729211
meghalaya,2022,2,Insurance,379,789094
meghalaya,2022,3,Insurance,600,1039491
meghalaya,2022,4,Insurance,627,1189529
meghalaya,2023,1,Insurance,562,1187523
meghalaya,2023,2,Insurance,730,1551577
meghalaya,2023,3,Insurance,809,1728076
meghalaya,2023,4,Insurance,806,1843364
meghalaya,2024,1,Insurance,1030,1987107
meghalaya,2024,2,Insurance,1235,2318007
meghalaya,2024,3,Insurance,1140,2443878
meghalaya,2024,4,Insurance,1313,2493656
mizoram,2020,2,Insurance,31,7322
mizoram,2020,3,Insurance,74,24691
mizoram,2020,4,Insurance,81,119124
mizoram,2021,1,Insurance,415,302841
mizoram,2021,2,Insurance,187,124805
mizoram,2021,3,Insurance,81,83641
mizoram,2021,4,Insurance,100,175847
mizoram,2022,1,Insurance,85,189428
mizoram,2022,2,Insurance,76,115090
mizoram,2022,3,Insurance,310,471306
mizoram,2022,4,Insurance,350,612551
mizoram,2023,1,Insurance,171,326688
mizoram,2023,2,Insurance,119,232928
mizoram,2023,3,Insurance,166,271799
mizoram,2023,4,Insurance,312,557950
mizoram,2024,1,Insurance,277,427693
mizoram,2024,2,Insurance,214,331455
mizoram,2024,3,Insurance,186,275746
mizoram,2024,4,Insurance,489,811687
nagaland,2020,2,Insurance,41,9791
nagaland,2020,3,Insurance,89,20798
nagaland,2020,4,Insurance,62,38836
nagaland,2021,1,Insurance,79,42973
nagaland,2021,2,Insurance,85,139479
nagaland,2021,3,Insurance,91,123643
nagaland,2021,4,Insurance,183,341424
nagaland,2022,1,Insurance,242,529223
nagaland,2022,2,Insurance,186,380878
nagaland,2022,3,Insurance,210,439669
nagaland,2022,4,Insurance,367,700864
nagaland,2023,1,Insurance,320,704957
nagaland,2023,2,Insurance,269,628890
nagaland,2023,3,Insurance,268,632287
nagaland,2023,4,Insurance,331,822973
nagaland,2024,1,Insurance,526,925684
nagaland,2024,2,Insurance,418,685292
nagaland,2024,3,Insurance,410,820539
nagaland,2024,4,Insurance,568,1168417
odisha,2020,2,Insurance,2981,615193
odisha,2020,3,Insurance,10955,2640191
odisha,2020,4,Insurance,7526,4208701
odisha,2021,1,Insurance,8236,4383330
odisha,2021,2,Insurance,7942,5832924
odisha,2021,3,Insurance,7967,6008686
odisha,2021,4,Insurance,9093,10941626
odisha,2022,1,Insurance,9627,14539309
odisha,2022,2,Insurance,12371,16631095
odisha,2022,3,Insurance,18898,23308531
odisha,2022,4,Insurance,24538,33565401
odisha,2023,1,Insurance,18899,29360555
odisha,2023,2,Insurance,22163,31307110
odisha,2023,3,Insurance,20263,29008350
odisha,2023,4,Insurance,25065,39753392
odisha,2024,1,Insurance,27977,40032495
odisha,2024,2,Insurance,24579,36840474
odisha,2024,3,Insurance,26524,40608651
odisha,2024,4,Insurance,33165,46973224
puducherry,2020,2,Insurance,112,22251
puducherry,2020,3,Insurance,191,58399
puducherry,2020,4,Insurance,234,197955
puducherry,2021,1,Insurance,372,351827
puducherry,2021,2,Insurance,526,508277
puducherry,2021,3,Insurance,561,556442
puducherry,2021,4,Insurance,786,946607
puducherry,2022,1,Insurance,1199,1663404
puducherry,2022,2,Insurance,1156,1597786
puducherry,2022,3,Insurance,1585,2025529
puducherry,2022,4,Insurance,2331,2693130
puducherry,2023,1,Insurance,1955,2593091
puducherry,2023,2,Insurance,1809,2614006
puducherry,2023,3,Insurance,2232,2891647
puducherry,2023,4,Insurance,2447,3419395
puducherry,2024,1,Insurance,2702,3793554
puducherry,2024,2,Insurance,2304,3322997
puducherry,2024,3,Insurance,2600,3968523
puducherry,2024,4,Insurance,2838,3896033
punjab,2020,2,Insurance,2036,399452
punjab,2020,3,Insurance,2488,684753
punjab,2020,4,Insurance,2451,1884291
punjab,2021,1,Insurance,3783,2558380
punjab,2021,2,Insurance,4047,3768919
punjab,2021,3,Insurance,4887,5271559
punjab,2021,4,Insurance,6638,9912828
punjab,2022,1,Insurance,7475,13155682
punjab,2022,2,Insurance,9175,15465367
punjab,2022,3,Insurance,12370,19381895
punjab,2022,4,Insurance,12187,21727831
punjab,2023,1,Insurance,10816,23330966
punjab,2023,2,Insurance,13187,24998175
punjab,2023,3,Insurance,14048,24461488
punjab,2023,4,Insurance,13777,28715828
punjab,2024,1,Insurance,14729,28213940
punjab,2024,2,Insurance,14129,27164397
punjab,2024,3,Insurance,15509,30111034
punjab,2024,4,Insurance,16279,31878987
rajasthan,2020,2,Insurance,5373,1095933
rajasthan,2020,3,Insurance,15235,3758527
rajasthan,2020,4,Insurance,12509,6471573
rajasthan,2021,1,Insurance,17800,8074225
rajasthan,2021,2,Insurance,18281,14357445
rajasthan,2021,3,Insurance,16643,12793862
rajasthan,2021,4,Insurance,19375,24455262
rajasthan,2022,1,Insurance,21517,31576932
rajasthan,2022,2,Insurance,24333,33748931
rajasthan,2022,3,Insurance,33975,45565544
rajasthan,2022,4,Insurance,40926,60792838
rajasthan,2023,1,Insurance,34415,61441050
rajasthan,2023,2,Insurance,37170,61301449
rajasthan,2023,3,Insurance,39960,64328784
rajasthan,2023,4,Insurance,49741,94701652
rajasthan,2024,1,Insurance,59127,102926410
rajasthan,2024,2,Insurance,55241,95504657
rajasthan,2024,3,Insurance,64533,108827800
rajasthan,2024,4,Insurance,73530,127930986
sikkim,2020,2,Insurance,21,4789
sikkim,2020,3,Insurance,94,28000
sikkim,2020,4,Insurance,67,70214
sikkim,2021,1,Insurance,122,111777
sikkim,2021,2,Insurance,93,122064
sikkim,2021,3,Insurance,106,140552
sikkim,2021,4,Insurance,195,503532
sikkim,2022,1,Insurance,239,685987
sikkim,2022,2,Insurance,160,383709
sikkim,2022,3,Insurance,243,474940
sikkim,2022,4,Insurance,306,667214
sikkim,2023,1,Insurance,260,688605
sikkim,2023,2,Insurance,270,628191
sikkim,2023,3,Insurance,251,698251
sikkim,2023,4,Insurance,324,793745
sikkim,2024,1,Insurance,400,880182
sikkim,2024,2,Insurance,685,1590554
sikkim,2024,3,Insurance,461,1029398
sikkim,2024,4,Insurance,599,1381680
tamil-nadu,2020,2,Insurance,5473,1075552
tamil-nadu,2020,3,Insurance,8026,2257373
tamil-nadu,2020,4,Insurance,10290,8993575
tamil-nadu,2021,1,Insurance,14406,11180849
tamil-nadu,2021,2,Insurance,17682,16444344
tamil-nadu,2021,3,Insurance,23107,23402918
tamil-nadu,2021,4,Insurance,33037,42184290
tamil-nadu,2022,1,Insurance,47621,64969045
tamil-nadu,2022,2,Insurance,46714,61835120
tamil-nadu,2022,3,Insurance,64356,79747520
tamil-nadu,2022,4,Insurance,125491,146457790
tamil-nadu,2023,1,Insurance,90690,116710222
tamil-nadu,2023,2,Insurance,79698,105328191
tamil-nadu,2023,3,Insurance,91069,114625593
tamil-nadu,2023,4,Insurance,104871,139433796
tamil-nadu,2024,1,Insurance,111521,148976175
tamil-nadu,2024,2,Insurance,97348,135972378
tamil-nadu,2024,3,Insurance,116867,162128271
tamil-nadu,2024,4,Insurance,127002,173784251
telangana,2020,2,Insurance,19003,3419453
telangana,2020,3,Insurance,34395,8406543
telangana,2020,4,Insurance,20961,11339099
telangana,2021,1,Insurance,28298,14810947
telangana,2021,2,Insurance,28870,20935651
telangana,2021,3,Insurance,27080,20925217
telangana,2021,4,Insurance,34848,38845492
telangana,2022,1,Insurance,36325,51942016
telangana,2022,2,Insurance,45600,58056956
telangana,2022,3,Insurance,51465,64798126
telangana,2022,4,Insurance,64655,88544127
telangana,2023,1,Insurance,54508,82678207
telangana,2023,2,Insurance,55118,79238968
telangana,2023,3,Insurance,61523,84397465
telangana,2023,4,Insurance,63993,105605522
telangana,2024,1,Insurance,67388,105607539
telangana,2024,2,Insurance,56941,96037304
telangana,2024,3,Insurance,64873,110715264
telangana,2024,4,Insurance,78498,124755619
